indice_tiempo,region_de_destino,categoria_del_hotel,tarifa_media_diaria_en_usd,observaciones
2012-04-01,Norte,1 y 2 estrellas,47.3,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Norte,3 estrellas/boutiques/aparts,67.26,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Norte,4 y 5 estrellas,94.86,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Norte,Para Hoteles,35.37,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Norte,Total,61.01,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Patagonia,1 y 2 estrellas,45.74,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,85.08,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Patagonia,4 y 5 estrellas,114.89,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Patagonia,Para Hoteles,45.77,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-04-01,Patagonia,Total,72.33,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Buenos Aires,1 y 2 estrellas,27.45,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,68.31,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Buenos Aires,4 y 5 estrellas,88.48,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Buenos Aires,Para Hoteles,47.61,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,Buenos Aires,Total,53.67,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,CABA,1 y 2 estrellas,45.19,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
2012-05-01,CABA,3 estrellas/boutiques/aparts,78.21,Calculado a valores de la cotización oficial de venta de la divisa. Dato provisorio
