indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo,observaciones
2013-04-01,Buenos Aires,4 y 5 estrellas,1589,""
2013-04-01,Buenos Aires,Para Hoteles,2511,""
2013-04-01,CABA,1 y 2 estrellas,950,""
2013-04-01,CABA,3 estrellas/boutiques/aparts,3692,""
2013-04-01,CABA,4 y 5 estrellas,8710,""
2013-04-01,CABA,Para Hoteles,1568,""
2013-04-01,Cuyo,1 y 2 estrellas,1220,""
2013-04-01,Cuyo,3 estrellas/boutiques/aparts,2088,""
2013-04-01,Cuyo,4 y 5 estrellas,2587,""
2013-04-01,Cuyo,Para Hoteles,1154,""
2013-04-01,Córdoba,1 y 2 estrellas,1481,""
2013-04-01,Córdoba,3 estrellas/boutiques/aparts,1577,""
2013-04-01,Córdoba,4 y 5 estrellas,881,""
2013-04-01,Córdoba,Para Hoteles,2480,""
2013-04-01,Litoral,1 y 2 estrellas,955,""
2013-04-01,Litoral,3 estrellas/boutiques/aparts,1943,""
2013-04-01,Litoral,4 y 5 estrellas,3533,""
2013-04-01,Litoral,Para Hoteles,1556,""
2013-04-01,Norte,1 y 2 estrellas,1041,""
2013-04-01,Norte,3 estrellas/boutiques/aparts,2260,""
2013-04-01,Norte,4 y 5 estrellas,1824,""
2013-04-01,Norte,Para Hoteles,1674,""
2013-04-01,Patagonia,1 y 2 estrellas,1513,""
2013-04-01,Patagonia,3 estrellas/boutiques/aparts,2470,""
2013-04-01,Patagonia,4 y 5 estrellas,2793,""
2013-04-01,Patagonia,Para Hoteles,2443,""
2013-05-01,Buenos Aires,1 y 2 estrellas,962,""
2013-05-01,Buenos Aires,3 estrellas/boutiques/aparts,1856,""
2013-05-01,Buenos Aires,4 y 5 estrellas,1406,""
2013-05-01,Buenos Aires,Para Hoteles,1833,""
2013-05-01,CABA,1 y 2 estrellas,962,""
2013-05-01,CABA,3 estrellas/boutiques/aparts,3642,""
2013-05-01,CABA,4 y 5 estrellas,8512,""
2013-05-01,CABA,Para Hoteles,1653,""
2013-05-01,Cuyo,1 y 2 estrellas,1175,""
2013-05-01,Cuyo,3 estrellas/boutiques/aparts,2117,""
2013-05-01,Cuyo,4 y 5 estrellas,2575,""
2013-05-01,Cuyo,Para Hoteles,1044,""
2013-05-01,Córdoba,1 y 2 estrellas,1286,""
2013-05-01,Córdoba,3 estrellas/boutiques/aparts,1520,""
2013-05-01,Córdoba,4 y 5 estrellas,892,""
2013-05-01,Córdoba,Para Hoteles,2196,""
2013-05-01,Litoral,1 y 2 estrellas,980,""
2013-05-01,Litoral,3 estrellas/boutiques/aparts,1906,""
2013-05-01,Litoral,4 y 5 estrellas,3657,""
2013-05-01,Litoral,Para Hoteles,1596,""
2013-05-01,Norte,1 y 2 estrellas,1108,""
2013-05-01,Norte,3 estrellas/boutiques/aparts,2135,""
2013-05-01,Norte,4 y 5 estrellas,1938,""
2013-05-01,Norte,Para Hoteles,1650,""
2013-05-01,Patagonia,1 y 2 estrellas,1458,""
2013-05-01,Patagonia,3 estrellas/boutiques/aparts,2083,""
2013-05-01,Patagonia,4 y 5 estrellas,2622,""
