indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible_en_usd,observaciones
2012-04-01,Norte,4 y 5 estrellas,46.1,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Norte,Para Hoteles,9.93,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Norte,Total,20.52,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Patagonia,1 y 2 estrellas,16.09,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Patagonia,3 estrellas/boutiques/aparts,29.38,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Patagonia,4 y 5 estrellas,41.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Patagonia,Para Hoteles,11,Calculado a valores de la cotización oficial de venta de la divisa.
2012-04-01,Patagonia,Total,22.18,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Buenos Aires,1 y 2 estrellas,4.92,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Buenos Aires,3 estrellas/boutiques/aparts,12.74,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Buenos Aires,4 y 5 estrellas,20.52,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Buenos Aires,Para Hoteles,8.65,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Buenos Aires,Total,10.11,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,CABA,1 y 2 estrellas,19.19,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,CABA,3 estrellas/boutiques/aparts,41.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,CABA,4 y 5 estrellas,71,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,CABA,Para Hoteles,8.79,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,CABA,Total,42.29,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Cuyo,1 y 2 estrellas,9.84,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Cuyo,3 estrellas/boutiques/aparts,19.14,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Cuyo,4 y 5 estrellas,31.99,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Cuyo,Para Hoteles,4.33,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Cuyo,Total,15.73,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Córdoba,1 y 2 estrellas,17.93,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Córdoba,3 estrellas/boutiques/aparts,24.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Córdoba,4 y 5 estrellas,35.02,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Córdoba,Para Hoteles,9.3,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Córdoba,Total,18.86,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Litoral,1 y 2 estrellas,12.07,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Litoral,3 estrellas/boutiques/aparts,22.88,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Litoral,4 y 5 estrellas,40.64,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Litoral,Para Hoteles,10.82,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Litoral,Total,22.22,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Norte,1 y 2 estrellas,9.12,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Norte,3 estrellas/boutiques/aparts,20.1,Calculado a valores de la cotización oficial de venta de la divisa.
2012-05-01,Norte,4 y 5 estrellas,38.98,Calculado a valores de la cotización oficial de venta de la divisa.
