indice_tiempo,region_de_destino,categoria_del_hotel,ingresos_por_habitacion_disponible,observaciones
2012-11-01,Buenos Aires,3 estrellas/boutiques/aparts,120.1,""
2012-11-01,Buenos Aires,4 y 5 estrellas,218,""
2012-11-01,Buenos Aires,Para Hoteles,66.9,""
2012-11-01,Buenos Aires,Total,93,""
2012-11-01,CABA,1 y 2 estrellas,120.4,""
2012-11-01,CABA,3 estrellas/boutiques/aparts,246,""
2012-11-01,CABA,4 y 5 estrellas,434.5,""
2012-11-01,CABA,Para Hoteles,46,""
2012-11-01,CABA,Total,256.1,""
2012-11-01,Cuyo,1 y 2 estrellas,55,""
2012-11-01,Cuyo,3 estrellas/boutiques/aparts,119.7,""
2012-11-01,Cuyo,4 y 5 estrellas,239.3,""
2012-11-01,Cuyo,Para Hoteles,34.1,""
2012-11-01,Cuyo,Total,106.2,""
2012-11-01,Córdoba,1 y 2 estrellas,64.1,""
2012-11-01,Córdoba,3 estrellas/boutiques/aparts,117.8,""
2012-11-01,Córdoba,4 y 5 estrellas,206.5,""
2012-11-01,Córdoba,Para Hoteles,50.8,""
2012-11-01,Córdoba,Total,88.6,""
2012-11-01,Litoral,1 y 2 estrellas,82.7,""
2012-11-01,Litoral,3 estrellas/boutiques/aparts,132.5,""
2012-11-01,Litoral,4 y 5 estrellas,302.3,""
2012-11-01,Litoral,Para Hoteles,56.5,""
2012-11-01,Litoral,Total,150.6,""
2012-11-01,Norte,1 y 2 estrellas,65.6,""
2012-11-01,Norte,3 estrellas/boutiques/aparts,121.4,""
2012-11-01,Norte,4 y 5 estrellas,189.5,""
2012-11-01,Norte,Para Hoteles,41.4,""
2012-11-01,Norte,Total,94.7,""
2012-11-01,Patagonia,1 y 2 estrellas,100,""
2012-11-01,Patagonia,3 estrellas/boutiques/aparts,242.6,""
2012-11-01,Patagonia,4 y 5 estrellas,339.7,""
2012-11-01,Patagonia,Para Hoteles,65.8,""
2012-11-01,Patagonia,Total,168.6,""
2012-12-01,Buenos Aires,1 y 2 estrellas,41.6,""
2012-12-01,Buenos Aires,3 estrellas/boutiques/aparts,133.1,""
2012-12-01,Buenos Aires,4 y 5 estrellas,224.6,""
2012-12-01,Buenos Aires,Para Hoteles,75.3,""
2012-12-01,Buenos Aires,Total,97.3,""
2012-12-01,CABA,1 y 2 estrellas,89.1,""
2012-12-01,CABA,3 estrellas/boutiques/aparts,201.9,""
2012-12-01,CABA,4 y 5 estrellas,360.5,""
2012-12-01,CABA,Para Hoteles,44.6,""
2012-12-01,CABA,Total,212.8,""
2012-12-01,Cuyo,1 y 2 estrellas,46.5,""
2012-12-01,Cuyo,3 estrellas/boutiques/aparts,102.6,""
2012-12-01,Cuyo,4 y 5 estrellas,171.1,""
2012-12-01,Cuyo,Para Hoteles,30.6,""
2012-12-01,Cuyo,Total,84.8,""
2012-12-01,Córdoba,1 y 2 estrellas,56.2,""
2012-12-01,Córdoba,3 estrellas/boutiques/aparts,114,""
2012-12-01,Córdoba,4 y 5 estrellas,180.1,""
2012-12-01,Córdoba,Para Hoteles,57.3,""
2012-12-01,Córdoba,Total,83.4,""
2012-12-01,Litoral,1 y 2 estrellas,75.3,""
2012-12-01,Litoral,3 estrellas/boutiques/aparts,122.3,""
2012-12-01,Litoral,4 y 5 estrellas,211.4,""
2012-12-01,Litoral,Para Hoteles,55.1,""
2012-12-01,Litoral,Total,120.2,""
2012-12-01,Norte,1 y 2 estrellas,45.6,""
2012-12-01,Norte,3 estrellas/boutiques/aparts,69.8,""
2012-12-01,Norte,4 y 5 estrellas,135.2,""
2012-12-01,Norte,Para Hoteles,33.8,""
2012-12-01,Norte,Total,64.1,""
2012-12-01,Patagonia,1 y 2 estrellas,110.4,""
2012-12-01,Patagonia,3 estrellas/boutiques/aparts,208.9,""
2012-12-01,Patagonia,4 y 5 estrellas,298.1,""
2012-12-01,Patagonia,Para Hoteles,73.9,""
2012-12-01,Patagonia,Total,152.7,""
2013-01-01,Buenos Aires,1 y 2 estrellas,140.3,""
2013-01-01,Buenos Aires,3 estrellas/boutiques/aparts,342.1,""
2013-01-01,Buenos Aires,4 y 5 estrellas,514.4,""
2013-01-01,Buenos Aires,Para Hoteles,242.6,""
2013-01-01,Buenos Aires,Total,263.7,""
2013-01-01,CABA,1 y 2 estrellas,78.9,""
2013-01-01,CABA,3 estrellas/boutiques/aparts,164.9,""
2013-01-01,CABA,4 y 5 estrellas,298.1,""
2013-01-01,CABA,Para Hoteles,41,""
2013-01-01,CABA,Total,177.5,""
2013-01-01,Cuyo,1 y 2 estrellas,71.5,""
2013-01-01,Cuyo,3 estrellas/boutiques/aparts,178.8,""
2013-01-01,Cuyo,4 y 5 estrellas,229.9,""
2013-01-01,Cuyo,Para Hoteles,54.8,""
2013-01-01,Cuyo,Total,131.8,""
2013-01-01,Córdoba,1 y 2 estrellas,149.3,""
2013-01-01,Córdoba,3 estrellas/boutiques/aparts,267.9,""
2013-01-01,Córdoba,4 y 5 estrellas,225.1,""
