indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-09-01,Córdoba,3 estrellas/boutiques/aparts,1357,""
2012-09-01,Córdoba,4 y 5 estrellas,863,""
2012-09-01,Córdoba,Para Hoteles,1373,""
2012-09-01,Litoral,1 y 2 estrellas,896,""
2012-09-01,Litoral,3 estrellas/boutiques/aparts,1901,""
2012-09-01,Litoral,4 y 5 estrellas,3197,""
2012-09-01,Litoral,Para Hoteles,1301,""
2012-09-01,Norte,1 y 2 estrellas,1109,""
2012-09-01,Norte,3 estrellas/boutiques/aparts,1998,""
2012-09-01,Norte,4 y 5 estrellas,1615,""
2012-09-01,Norte,Para Hoteles,1358,""
2012-09-01,Patagonia,1 y 2 estrellas,2000,""
2012-09-01,Patagonia,3 estrellas/boutiques/aparts,2530,""
2012-09-01,Patagonia,4 y 5 estrellas,3008,""
2012-09-01,Patagonia,Para Hoteles,2135,""
2012-10-01,Buenos Aires,1 y 2 estrellas,1078,""
2012-10-01,Buenos Aires,3 estrellas/boutiques/aparts,1804,""
2012-10-01,Buenos Aires,4 y 5 estrellas,1523,""
2012-10-01,Buenos Aires,Para Hoteles,2753,""
2012-10-01,CABA,1 y 2 estrellas,985,""
2012-10-01,CABA,3 estrellas/boutiques/aparts,3850,""
2012-10-01,CABA,4 y 5 estrellas,8385,""
2012-10-01,CABA,Para Hoteles,1488,""
2012-10-01,Cuyo,1 y 2 estrellas,997,""
2012-10-01,Cuyo,3 estrellas/boutiques/aparts,1874,""
2012-10-01,Cuyo,4 y 5 estrellas,2517,""
2012-10-01,Cuyo,Para Hoteles,867,""
2012-10-01,Córdoba,1 y 2 estrellas,1208,""
2012-10-01,Córdoba,3 estrellas/boutiques/aparts,1405,""
2012-10-01,Córdoba,4 y 5 estrellas,857,""
2012-10-01,Córdoba,Para Hoteles,1396,""
2012-10-01,Litoral,1 y 2 estrellas,821,""
2012-10-01,Litoral,3 estrellas/boutiques/aparts,1977,""
2012-10-01,Litoral,4 y 5 estrellas,3409,""
2012-10-01,Litoral,Para Hoteles,1393,""
2012-10-01,Norte,1 y 2 estrellas,889,""
2012-10-01,Norte,3 estrellas/boutiques/aparts,1815,""
2012-10-01,Norte,4 y 5 estrellas,1727,""
2012-10-01,Norte,Para Hoteles,1254,""
2012-10-01,Patagonia,1 y 2 estrellas,1969,""
2012-10-01,Patagonia,3 estrellas/boutiques/aparts,2688,""
2012-10-01,Patagonia,4 y 5 estrellas,2995,""
2012-10-01,Patagonia,Para Hoteles,2173,""
2012-11-01,Buenos Aires,1 y 2 estrellas,1173,""
2012-11-01,Buenos Aires,3 estrellas/boutiques/aparts,2044,""
2012-11-01,Buenos Aires,4 y 5 estrellas,1552,""
2012-11-01,Buenos Aires,Para Hoteles,3265,""
2012-11-01,CABA,1 y 2 estrellas,1021,""
2012-11-01,CABA,3 estrellas/boutiques/aparts,3871,""
2012-11-01,CABA,4 y 5 estrellas,8615,""
2012-11-01,CABA,Para Hoteles,1507,""
2012-11-01,Cuyo,1 y 2 estrellas,1014,""
2012-11-01,Cuyo,3 estrellas/boutiques/aparts,1977,""
2012-11-01,Cuyo,4 y 5 estrellas,2627,""
2012-11-01,Cuyo,Para Hoteles,887,""
2012-11-01,Córdoba,1 y 2 estrellas,1232,""
2012-11-01,Córdoba,3 estrellas/boutiques/aparts,1433,""
2012-11-01,Córdoba,4 y 5 estrellas,844,""
2012-11-01,Córdoba,Para Hoteles,1545,""
2012-11-01,Litoral,1 y 2 estrellas,863,""
2012-11-01,Litoral,3 estrellas/boutiques/aparts,2011,""
2012-11-01,Litoral,4 y 5 estrellas,3508,""
2012-11-01,Litoral,Para Hoteles,1550,""
2012-11-01,Norte,1 y 2 estrellas,841,""
2012-11-01,Norte,3 estrellas/boutiques/aparts,1657,""
2012-11-01,Norte,4 y 5 estrellas,1711,""
2012-11-01,Norte,Para Hoteles,1258,""
2012-11-01,Patagonia,1 y 2 estrellas,1551,""
2012-11-01,Patagonia,3 estrellas/boutiques/aparts,2768,""
2012-11-01,Patagonia,4 y 5 estrellas,3125,""
2012-11-01,Patagonia,Para Hoteles,2726,""
2012-12-01,Buenos Aires,1 y 2 estrellas,1298,""
2012-12-01,Buenos Aires,3 estrellas/boutiques/aparts,2473,""
2012-12-01,Buenos Aires,4 y 5 estrellas,1597,""
2012-12-01,Buenos Aires,Para Hoteles,3263,""
2012-12-01,CABA,1 y 2 estrellas,1018,""
